Villages	Year	Avg_Temp_C	Avg_Humidity_Percent	Soil_Type	Soil_pH	Crop_Name	Crop_Season	Soil_N_kg_ha	Soil_P_kg_ha	Soil_K_kg_ha	Rainfall_mm	Yield_kg_ha	Fertilizer_Type	Fertilizer_Quantity_kg_ha	Farm_Area_ha
Ajang	2024	34	35.8	Light Black Soil	7.499632095	Onion	Summer	174.9	24.3	419.6	0	23118	UREA + 19:19:19	141	2.5
Ajnale	2024	33.7	35.9	Light Black Soil	7.960571445	Summer Maize	Summer	219.7	12.3	246.8	0	2855	DAP	262	4.8
Aklad	2024	34.7	36.4	Light Black Soil	7.785595153	Summer Maize	Summer	111.6	23	380.3	0	2562	DAP	222	3.93
Ambode	2024	33.5	35.8	Light Black Soil	7.678926787	Summer Maize	Summer	241.6	10.3	491	0	3494	DAP	273	3.39
Amdad	2024	34.6	32.1	Light Black Soil	7.324814912	Onion	Summer	266.5	13.2	254.5	0	29482	UREA + 19:19:19	202	1.62
Anakwadi	2024	32.7	38	Light Black Soil	7.324795616	Onion	Summer	136.7	14.6	357.4	0	22353	UREA + 19:19:19	224	1.62
Anchade	2024	33.8	30.2	Light Black Soil	7.24646689	Onion	Summer	186.4	14.4	383.6	0	26565	UREA + 19:19:19	196	1.23
Anchade Tanda	2024	33	32.8	Light Black Soil	7.892940917	Summer Maize	Summer	127.9	14.4	309.9	0	3510	DAP	251	4.46
Arni	2024	34.8	30.9	Light Black Soil	7.680892009	Summer Maize	Summer	191.2	21.8	259.9	0	3646	DAP	210	3.4
Arvi	2024	34	32.5	Light Black Soil	7.766458062	Summer Maize	Summer	202.8	18.9	213.9	0	3101	DAP	226	3.83
Awadhan	2024	32.9	39.2	Light Black Soil	7.216467595	Onion	Summer	221.5	12.6	219.5	0	23108	UREA + 19:19:19	206	1.08
Babhulwadi	2024	34.2	36	Light Black Soil	7.975927882	Summer Maize	Summer	289.8	24.5	442.5	0	2976	DAP	195	4.88
Babre	2024	35.5	31.8	Light Black Soil	7.865954113	Summer Maize	Summer	160.9	11.5	405.3	0	3472	DAP	267	4.33
Balapur	2024	33.2	34.8	Light Black Soil	7.369871289	Onion	Summer	188	11.8	348.6	0	28041	UREA + 19:19:19	210	1.85
Balhane	2024	34.6	37.5	Light Black Soil	7.345459974	Onion	Summer	106.9	23.6	277.6	0	21943	UREA + 19:19:19	240	1.73
Bamburle Pr Ner	2024	34.9	35.2	Mixed Soil	7.111787667	Onion	Summer	232.5	14.7	356	0	23761	UREA + 19:19:19	194	1.73
Behed	2024	34.3	30.2	Light Black Soil	7.443393794	Onion	Summer	209.3	12.8	490.9	0	28859	UREA + 19:19:19	205	2.22
Bendrepada	2024	33.9	36.4	Mixed Soil	7.692085934	Summer Maize	Summer	255	24.1	468.4	0	3593	DAP	197	3.1
Bhadane	2024	32.9	30.2	Light Black Soil	7.545556015	Onion	Summer	219.6	23.8	226.5	0	29655	UREA + 19:19:19	144	2.73
Bhirdai	2024	33.7	34.6	Mixed Soil	7.295089538	Onion	Summer	139.2	10.7	297.6	0	27441	UREA + 19:19:19	240	2.16
Bhirdane	2024	32.9	33.5	Mixed Soil	7.840149921	Summer Maize	Summer	177.7	14.1	448.6	0	3063	DAP	252	3.45
Bhokar	2024	34.5	31.6	Mixed Soil	7.037139563	Onion	Summer	171.4	14.2	362.8	0	25870	UREA + 19:19:19	197	1.56
Biladi	2024	33.8	34	Mixed Soil	7.296645903	Onion	Summer	128.2	22	222.4	0	26546	UREA + 19:19:19	202	2.17
Bodgaon	2024	34.8	34.5	Light Black Soil	7.493089475	Onion	Summer	297.4	21.6	259.6	0	20953	UREA + 19:19:19	156	2.47
Boris	2024	34.6	34.2	Mixed Soil	7.575318973	Onion	Summer	101.1	22.2	412.1	0	25427	UREA + 19:19:19	260	2.82
Borkund	2024	33.7	30.2	Mixed Soil	8.134799134	Summer Maize	Summer	245.8	21.6	222.2	0	3468	DAP	211	4.14
Borsule	2024	33.6	37.3	Mixed Soil	7.13944543	Onion	Summer	171.7	11.7	458.9	0	21806	UREA + 19:19:19	211	1.8
Borvihir	2024	32.8	38.4	Mixed Soil	7.674198545	Summer Maize	Summer	224.7	15	219.1	0	3559	DAP	248	3.06
Burzad	2024	34.4	35.2	Mixed Soil	7.807104767	Summer Maize	Summer	162.2	14.9	418.9	0	3307	DAP	248	3.37
Chande	2024	35.2	39.7	Light Black Soil	7.23716033	Onion	Summer	227.5	23.3	341.7	0	29341	UREA + 19:19:19	147	1.19
Chaugaon	2024	34.9	34.1	Light Black Soil	7.686035882	Summer Maize	Summer	123.9	20.7	428.2	0	2614	DAP	216	3.43
Chinchkhede	2024	35	38	Light Black Soil	7.336419299	Onion	Summer	212.3	21.6	348.1	0	22747	UREA + 19:19:19	156	1.68
Chinchwar	2024	34.1	39.2	Light Black Soil	7.252041274	Onion	Summer	204.5	16.4	207.6	0	25975	UREA + 19:19:19	185	1.26
Chitod	2024	34.1	33.9	Light Black Soil	7.95910843	Summer Maize	Summer	121.6	10.5	390.9	0	2940	DAP	272	4.8
Dahyane	2024	35.3	33.2	Light Black Soil	7.972505626	Summer Maize	Summer	162.9	17.6	472.3	0	3474	DAP	233	4.86
Dapura	2024	35.4	37.9	Mixed Soil	8.174275492	Summer Maize	Summer	149.9	16.2	426.7	0	3532	DAP	241	4.23
Dapuri	2024	34.2	31.7	Mixed Soil	7.317843408	Onion	Summer	145.8	11.2	286.9	0	21184	UREA + 19:19:19	223	2.22
Deobhane	2024	33.6	32.9	Mixed Soil	6.966042594	Onion	Summer	132.2	23.9	442.4	0	25133	UREA + 19:19:19	183	1.39
Deur Bk	2024	33.5	32.3	Mixed Soil	7.963196145	Summer Maize	Summer	226.7	23.1	441.1	0	3211	DAP	203	3.74
Deur Kh	2024	32.7	30.5	Mixed Soil	7.548259239	Onion	Summer	137.3	23.4	361.8	0	23745	UREA + 19:19:19	174	2.76
Dhadre	2024	34	32.8	Light Black Soil	7.297630588	Onion	Summer	261.5	23.4	295.4	0	29156	UREA + 19:19:19	146	1.49
Dhadri	2024	35.3	39	Light Black Soil	7.596141528	Onion	Summer	122	13.4	328.1	0	28144	UREA + 19:19:19	263	2.98
Dhamane	2024	33.4	35.6	Medium Black Soil	7.527510817	Onion	Summer	263.6	22.9	202.1	0	26893	UREA + 19:19:19	149	1.14
Dhamangaon	2024	33.9	31.7	Light Black Soil	7.927456322	Summer Maize	Summer	202.1	16.3	266.6	0	3474	DAP	240	4.64
Dhamani	2024	34.5	38.6	Light Black Soil	7.407023985	Onion	Summer	124	15.1	482.9	0	24632	UREA + 19:19:19	249	2.04
Dhandhane	2024	33	33.4	Mixed Soil	7.926287883	Summer Maize	Summer	164.6	17.8	410.9	0	3739	DAP	232	3.65
Dhanur	2024	35.1	38.4	Light Black Soil	7.449368861	Onion	Summer	172.7	24.6	488.7	0	26868	UREA + 19:19:19	140	2.25
Dhodi	2024	33.3	37.1	Mixed Soil	7.684115636	Summer Maize	Summer	150.4	17.5	290.3	0	3493	DAP	234	3.08
Diwanmala	2024	35.1	35.2	Mixed Soil	7.729407475	Summer Maize	Summer	157	10.6	382.9	0	3663	DAP	272	3.19
Dondwad	2024	32.9	35.2	Mixed Soil	7.114252574	Onion	Summer	200.5	10.8	283.6	0	22831	UREA + 19:19:19	216	1.74
Fagne	2024	33.4	34.1	Light Black Soil	7.975667702	Summer Maize	Summer	281.7	13.6	243.5	0	3593	DAP	255	4.88
Gad Utar	2024	32.6	39	Mixed Soil	8.1177258	Summer Maize	Summer	197.9	24.8	272.6	0	2810	DAP	194	4.1
Gondur	2024	35	35.6	Light Black Soil	7.951599153	Summer Maize	Summer	234.4	21.4	271.3	0	3002	DAP	212	4.76
Gotane	2024	33.4	36.2	Light Black Soil	7.91586188	Summer Maize	Summer	245.6	15.5	389.7	0	2990	DAP	245	4.58
Hadsuni	2024	34.2	31.9	Light Black Soil	7.678319983	Summer Maize	Summer	226.7	18	227.1	0	3813	DAP	231	3.39
Hendrun	2024	35.5	36.9	Light Black Soil	7.937499388	Summer Maize	Summer	267.1	14.8	256	0	3656	DAP	249	4.69
Henkalwadi	2024	34.6	39.7	Mixed Soil	6.950437253	Onion	Summer	108.2	18.9	403.3	0	26931	UREA + 19:19:19	263	1.35
Hingane	2024	33	35.2	Light Black Soil	7.35678629	Onion	Summer	103.3	17.7	267.9	0	27180	UREA + 19:19:19	280	1.78
Horpada	2024	35.2	37.2	Light Black Soil	7.236181831	Onion	Summer	229	12.6	407.3	0	25596	UREA + 19:19:19	206	1.18
Isarne	2024	34.2	38.1	Light Black Soil	7.460264265	Onion	Summer	177.3	24.1	241.3	0	29292	UREA + 19:19:19	142	2.3
Japi	2024	35.2	33.2	Light Black Soil	7.510941832	Onion	Summer	168.2	11.7	477.4	0	24964	UREA + 19:19:19	211	2.55
Junnar	2024	35.1	34.4	Light Black Soil	7.417079225	Onion	Summer	275.5	13.9	398	0	23853	UREA + 19:19:19	199	2.09
Junwane	2024	34.7	34.7	Light Black Soil	7.862990007	Summer Maize	Summer	263.4	18.3	358.9	0	2769	DAP	229	4.31
Kalkhede	2024	34.3	39.2	Light Black Soil	7.485402661	Onion	Summer	148.4	11.4	469.2	0	27748	UREA + 19:19:19	216	2.43
Kapadne	2024	35.3	32.9	Light Black Soil	7.424747608	Onion	Summer	280.1	19.5	301.7	0	27251	UREA + 19:19:19	168	2.12
Kasvihir	2024	32.9	33.2	Light Black Soil	7.634156867	Summer Maize	Summer	169.8	20.9	469.1	0	3052	DAP	215	3.17
Kauthal	2024	34.8	34.7	Light Black Soil	7.31273938	Onion	Summer	277.4	21.7	392.6	0	20442	UREA + 19:19:19	156	1.56
Kawathi	2024	33.3	32.3	Light Black Soil	7.841757585	Summer Maize	Summer	116.8	12.4	469.6	0	3634	DAP	269	4.21
Khandlai Bk	2024	33.7	39.2	Mixed Soil	6.926736094	Onion	Summer	221.3	10.1	230.4	0	20310	UREA + 19:19:19	219	1.3
Khandlai Kh	2024	33.8	32	Mixed Soil	8.477707792	Summer Maize	Summer	232.7	10.1	248.2	0	3461	DAP	274	4.95
Khede	2024	34.9	35.8	Light Black Soil	7.817795815	Summer Maize	Summer	209.7	20.4	395.6	0	3802	DAP	218	4.09
Khordad	2024	34.7	34.2	Light Black Soil	7.358972545	Onion	Summer	144.9	20.7	271.2	0	24402	UREA + 19:19:19	172	1.79
Kulthe	2024	34.6	39.7	Light Black Soil	7.204417694	Onion	Summer	165.1	21.2	394.9	0	22456	UREA + 19:19:19	158	1.02
Kundane	2024	34.5	32.5	Light Black Soil	7.852369143	Summer Maize	Summer	269.8	19.9	370.5	0	3462	DAP	221	4.26
Kundane War	2024	33.7	32.7	Mixed Soil	8.001657485	Summer Maize	Summer	118.7	15.5	279.6	0	3606	DAP	248	3.83
Kusumbe	2024	32.7	31.1	Light Black Soil	7.783205734	Summer Maize	Summer	148.8	24.6	317.9	0	3259	DAP	195	3.92
Laling	2024	33.7	36	Light Black Soil	7.817016277	Summer Maize	Summer	278.4	19.5	438.4	0	3798	DAP	223	4.09
Lamkani	2024	35.2	33.8	Light Black Soil	7.259235721	Onion	Summer	200.5	18.7	347.8	0	20696	UREA + 19:19:19	172	1.3
Lohgad	2024	33.8	30.9	Light Black Soil	7.486772583	Onion	Summer	139	20.8	284.2	0	25046	UREA + 19:19:19	185	2.43
Lonkhedi	2024	33.5	34.9	Light Black Soil	7.292695248	Onion	Summer	104.9	19.7	253.1	0	27097	UREA + 19:19:19	266	1.46
Lonkute	2024	32.8	38.9	Light Black Soil	7.890482741	Summer Maize	Summer	288.1	24.3	474.5	0	3664	DAP	196	4.45
Mahal Kali	2024	35.5	37.4	Mixed Soil	7.859606816	Summer Maize	Summer	174	10.2	478.5	0	2789	DAP	274	3.49
Mahal Kandamana	2024	33.8	39.5	Mixed Soil	7.362526642	Onion	Summer	185.6	24.5	489.1	0	27880	UREA + 19:19:19	140	2.32
Mahal Kasad	2024	33	35.6	Mixed Soil	6.908049195	Onion	Summer	270.6	14.4	315.5	0	25506	UREA + 19:19:19	196	1.25
Mahal Londha	2024	34.3	33.7	Mixed Soil	7.328669947	Onion	Summer	270.2	14.8	250.8	0	24007	UREA + 19:19:19	194	2.24
Mahal Pandhari	2024	35.3	38	Mixed Soil	7.352811647	Onion	Summer	211.4	24	408.8	0	21464	UREA + 19:19:19	143	2.3
Mahal Raiwat	2024	33.4	37.9	Mixed Soil	8.040330503	Summer Maize	Summer	214	11.5	384.5	0	3668	DAP	267	3.92
Mahalmali	2024	34	34.7	Mixed Soil	7.883847701	Summer Maize	Summer	298	12.1	355.5	0	2761	DAP	263	3.55
Mahindale	2024	34.2	32.2	Mixed Soil	8.308261662	Summer Maize	Summer	275.5	21.1	409.1	0	2957	DAP	214	4.55
Malane	2024	35.5	31.4	Light Black Soil	7.57777194	Onion	Summer	240.5	15.4	288.1	0	22984	UREA + 19:19:19	190	2.89
Mandal	2024	34.1	36.5	Medium Black Soil	7.595675397	Onion	Summer	261.9	22.2	460.1	0	28566	UREA + 19:19:19	153	1.48
Mehergaon	2024	32.8	36.8	Light Black Soil	7.77059583	Summer Maize	Summer	282.6	17.7	350.5	0	3421	DAP	233	3.85
Moghan	2024	34.6	30.6	Light Black Soil	7.808628039	Summer Maize	Summer	259.7	19.7	410.6	0	3580	DAP	222	4.04
Mohadi Pr Dangari	2024	33.2	30.2	Mixed Soil	7.754171236	Summer Maize	Summer	259.2	23.4	301.4	0	2881	DAP	201	3.25
Morane Pr Laling	2024	33.1	30.1	Mixed Soil	8.110644206	Summer Maize	Summer	175.1	11.4	373.5	0	3360	DAP	267	4.08
Morane Pr Ner	2024	33.7	31.1	Mixed Soil	7.639452514	Onion	Summer	107.2	17	362.8	0	25689	UREA + 19:19:19	276	2.98
Mordad	2024	34.4	38.8	Light Black Soil	7.618186264	Summer Maize	Summer	157.3	18.9	209.2	0	3626	DAP	226	3.09
Mordad Tanda	2024	33.5	31.1	Mixed Soil	7.526819731	Onion	Summer	107.5	22.3	308.1	0	28898	UREA + 19:19:19	246	2.71
Morshevadi	2024	34	34.9	Mixed Soil	6.843212515	Onion	Summer	125.4	17.8	431	0	20317	UREA + 19:19:19	231	1.1
Mukati	2024	34.7	34	Medium Black Soil	7.586313142	Onion	Summer	143.2	19.3	225.6	0	26671	UREA + 19:19:19	184	1.43
Nagaon Bk	2024	32.9	34.8	Mixed Soil	6.853429616	Onion	Summer	110.3	18	362.2	0	20698	UREA + 19:19:19	263	1.13
Nagaon Kh	2024	34.5	38.2	Mixed Soil	7.881897699	Summer Maize	Summer	227.5	20.9	492.8	0	3263	DAP	215	3.55
Nakane	2024	34	39	Light Black Soil	7.451484785	Onion	Summer	203.3	14.8	438.6	0	22961	UREA + 19:19:19	194	2.26
Nandale Bk	2024	32.7	39.5	Mixed Soil	7.664570175	Summer Maize	Summer	154.2	16.6	223.5	0	2953	DAP	239	3.03
Nandale Kh	2024	33.6	37.4	Mixed Soil	8.342863006	Summer Maize	Summer	105.1	24.4	450.8	0	3012	DAP	229	4.63
Nandane	2024	34.7	34.8	Mixed Soil	7.22379679	Onion	Summer	239.2	16.1	252	0	26164	UREA + 19:19:19	186	2
